modelo,mediana,P50_lo,P50_hi,P80_lo,P80_hi,P95_lo,P95_hi,RMSE,MAE,log_score,cubre_95
M0,0.07518844091697341,-0.8367479810868883,0.980205672404777,-1.6697360404139194,1.7672707898641196,-2.550669927905037,2.619795515997197,21.07065539844368,21.02834865012375,-125.34386826825775,False
M1,0.04324990399953155,-0.5746183906539692,0.6723714730352659,-1.1487206828636776,1.2536621273406428,-1.906481723981589,2.01776434808828,21.033169721852527,21.009822786849195,-225.75880980844903,False
M2,-2.4046985301547634,-3.5067917205582755,-1.3006422932753783,-4.4800867694819075,-0.27893683519219975,-5.628901304210404,0.8037615665013494,18.63727651672058,18.564546277157177,-65.10488741436534,False
M3,-2.2290388982978593,-2.992346296085461,-1.4676832089313372,-3.7001395772237067,-0.7968110118572977,-4.437703138055106,0.0005566908444635416,18.768259279025244,18.733592187949053,-136.02163368135433,False
M4,-2.6597653130879797,-3.520539476654739,-1.773500318171651,-4.303895618084906,-0.9929259902589005,-5.217550745889864,-0.05635175036777153,18.356325701055674,18.309840203309854,-99.53142856036962,False
