date,IMCP,ANTAD,AUTOS,TARJETAS
1993-01-01,52.5347487347,41.2296360640975,43.88565219209888,
1993-02-01,53.2226310058,42.19363535778184,46.53432764940406,
1993-03-01,53.7867835738,42.432923288364904,46.4191049136703,
1993-04-01,53.1869434102,43.44210558165311,40.28090320040259,
1993-05-01,53.9972822576,43.71528197127247,42.99949945126601,
1993-06-01,53.5614507136,43.87137813177374,42.0226324563955,
1993-07-01,53.5024690405,44.63319783156803,41.1251081147834,
1993-08-01,53.2508601664,44.74562721444685,39.532712325817684,
1993-09-01,53.7110887222,43.48472048441019,37.52181823228316,
1993-10-01,53.7858368491,44.70615624858262,34.52269534119103,
1993-11-01,53.5310205867,44.77822716813403,35.39665989247007,
1993-12-01,56.0500409656,45.4929264044461,34.06683933010769,
1994-01-01,54.5569065926,46.73524796530076,41.272849333327976,
1994-02-01,54.9236215548,47.223274594826115,42.88061075155174,
1994-03-01,55.0595494218,48.90014805729283,42.51108360718925,
1994-04-01,56.050169962,47.23410395728112,43.81393387304819,
1994-05-01,56.3004655831,48.59578665750861,47.5425067071646,
1994-06-01,56.6857650763,48.65115374798075,46.806034743896035,
1994-07-01,56.9446222408,49.39430387225774,42.7096948324595,
1994-08-01,57.2304799235,49.046784454670934,42.74018761799061,
1994-09-01,57.2474181164,50.30210267004117,39.829306653124945,
1994-10-01,57.4829860101,50.04943102262518,38.4589116510856,
1994-11-01,57.8517149202,49.776090993354,34.814047910916706,
1994-12-01,57.1351426407,50.59001349823594,35.39349681745245,
1995-01-01,54.5033210639,49.90017841846939,32.868460484471804,
1995-02-01,53.929648688,46.73028155880668,21.348457317861453,
1995-03-01,53.2537908267,46.499859636256055,19.171276071598605,
1995-04-01,52.7082939039,41.08446989219576,11.929246952841172,
1995-05-01,52.2110748988,39.97887064669623,11.684090481443823,
1995-06-01,52.5813556411,39.79848429184754,11.033786699996858,
1995-07-01,52.6099898482,39.68469395725953,11.147540108752484,
1995-08-01,52.7761434903,40.60436942383916,12.058729631626077,
1995-09-01,52.842645034,40.30892020123428,12.988758324990377,
1995-10-01,52.5894381179,40.882494139908204,13.650211733892537,
1995-11-01,52.9398264555,41.00284354042654,16.181165481386344,
1995-12-01,53.9633360571,40.70044378729239,13.36973776717496,
1996-01-01,53.7205743423,41.574184609352706,17.599620123994125,
1996-02-01,53.5417053728,39.27516025710827,17.948586612373177,
1996-03-01,54.5836249507,40.64546869620992,20.506450684736485,
1996-04-01,53.7674149313,40.80276226206402,20.52550264082372,
1996-05-01,54.1949466715,40.273185617329155,22.15525892423522,
1996-06-01,54.4003412624,41.03313352919615,21.749057496506694,
1996-07-01,54.8076563336,40.82151349945403,22.925202932547794,
1996-08-01,54.9450542403,40.80750785935612,18.448404223693657,
1996-09-01,55.4561569564,41.36855515021266,23.241921716508195,
1996-10-01,55.9871940072,41.15016317156178,25.97864921124363,
1996-11-01,56.2167153157,41.99211626707161,28.37490004246857,
1996-12-01,56.5807323587,42.36223613618269,28.160120888391845,
1997-01-01,56.5876090335,41.903440710187574,24.715617665231722,
1997-02-01,57.6184707457,42.49767083603274,27.14429224374652,
1997-03-01,57.278933146,42.53457605183047,26.537636208616057,
1997-04-01,58.400980958,42.73121210197582,30.74504894846533,
1997-05-01,58.5406482469,43.19814122192849,31.207869983509763,
1997-06-01,59.3663071239,43.84370966423792,32.954649342889155,
1997-07-01,59.1784465635,44.53882928183599,35.42837658475619,
1997-08-01,59.7743677778,44.98794506869453,34.354687903329705,
1997-09-01,60.0020988821,45.03181277514019,36.94724568360601,
1997-10-01,60.6115750989,45.94819328770659,40.53182760322345,
1997-11-01,61.2205936037,46.743544512264286,39.67257781946081,
1997-12-01,60.9404002002,46.35617999370647,38.89199837428974,
1998-01-01,61.6904735157,48.090381159138374,40.72243097138481,
1998-02-01,62.4363754406,48.31963165705211,43.65917412868911,
1998-03-01,63.5390251219,49.09700388404193,45.22619519902463,
1998-04-01,62.7979025473,48.975762329481384,44.98203640523495,
1998-05-01,63.4413920929,49.67141159944769,42.94416191535696,
1998-06-01,63.1081686553,49.037906116327015,49.80769219255386,
1998-07-01,63.1105359145,49.242483154611186,48.1959670674534,
1998-08-01,63.5028933802,49.961694205083376,50.20928754424705,
1998-09-01,63.373615634,49.91939542443167,48.63887275394801,
1998-10-01,63.6588431798,49.86719717410442,35.047203647597534,
1998-11-01,63.6491533891,49.63758943673508,39.94518282937316,
1998-12-01,63.9820054514,48.713227312227744,49.789713880166936,
1999-01-01,63.7912747371,50.82036239842235,40.059819804055095,
1999-02-01,63.9274149955,50.75938370232088,37.517101520951144,
1999-03-01,64.1874298396,51.25435913376579,42.30976222923692,
1999-04-01,64.8942484731,51.49742183624918,43.18205330777135,
1999-05-01,65.2885418849,52.19283214882889,45.344714078449286,
1999-06-01,65.3144430443,52.25780704685593,46.04062547653039,
1999-07-01,66.2039671106,52.46314256567057,44.12231118083954,
1999-08-01,66.6023698292,53.63968678420441,46.920116156241434,
1999-09-01,67.0140856723,52.29475568459829,49.04071133210246,
1999-10-01,67.0403597822,53.461009581168106,48.07394067193915,
1999-11-01,67.5084856488,54.09805200518603,50.55638990153854,
1999-12-01,68.4070254591,54.236484301059285,59.28737546528369,
2000-01-01,69.6011695144,54.33973530024575,54.92754342109709,
2000-02-01,69.9183129536,55.356623985325136,54.054067499466264,
2000-03-01,69.9083889553,55.67521676690485,55.95117271826988,
2000-04-01,70.4269724721,56.312560403221546,56.980570855375625,
2000-05-01,71.0960029851,57.00340113083957,58.928356775389325,
2000-06-01,71.4180287381,58.680598553430826,60.018701053733345,
2000-07-01,72.4148248289,58.426483637669776,60.01653719804243,
2000-08-01,72.148483558,57.44042210788016,57.668054822750506,
2000-09-01,72.6521314205,58.1845400234218,63.011263888330504,
2000-10-01,73.4435039399,58.68627440218054,62.961941261851365,
2000-11-01,73.5724214938,57.80170993232928,65.6563524911733,
2000-12-01,72.995289975,57.32447677687066,62.6072260393408,
2001-01-01,73.3300680537,59.72521074720547,64.68859032600483,
2001-02-01,73.2979702163,60.286352990977974,65.26022602774441,
2001-03-01,73.2194696069,60.129305765788686,63.44203563088563,
2001-04-01,72.9795723788,60.841151363336735,61.41637354375813,
2001-05-01,73.1688702534,60.385397409187945,59.975829227460956,
2001-06-01,74.6032970428,61.55722874448659,60.811492723857754,
2001-07-01,73.2957399625,61.586148878345504,65.27242820882208,
2001-08-01,73.7191602281,61.043909239107144,69.4075713885594,
2001-09-01,74.0074766135,60.729272597246876,63.98172330737621,
2001-10-01,73.8089050789,60.86626295814923,62.738328152035685,
2001-11-01,73.8997342143,60.14678567469676,66.7313427537086,
2001-12-01,74.2034315593,59.107010994504684,66.13594679212677,
2002-01-01,73.9436708079,58.338244202192826,74.019356580395,
2002-02-01,73.3325565644,57.7411718322276,69.29362907426798,
2002-03-01,74.8732779776,58.877641775386635,66.79432577667987,
2002-04-01,75.1644247903,58.81638609622332,70.78123904482544,
2002-05-01,75.0355719111,59.05789391935258,70.99337594430523,
2002-06-01,75.367272924,58.574458974597356,66.65744207584619,
2002-07-01,74.9199718735,60.21044644477068,68.67086924217678,
2002-08-01,75.0506935816,59.01384462596927,69.732498723308,
2002-09-01,75.083549612,58.80206877687285,66.01250137389526,
2002-10-01,75.4288436292,59.180232543957715,69.7466890587252,
2002-11-01,74.692452361,60.16075461217078,63.50371830909618,
2002-12-01,74.5621521814,60.80566019597362,63.78878927777528,
2003-01-01,75.564005785,61.03545929245554,68.26034273477273,
2003-02-01,75.8038472036,60.09574500178575,70.39215206026121,
2003-03-01,75.822827073,60.54792851253129,65.30172032216983,
2003-04-01,76.2261547887,60.66197057345452,67.38320852517641,
2003-05-01,76.0092270866,61.779750636844014,64.00993709701584,
2003-06-01,76.5722743839,61.62061343190869,70.78576637613791,
2003-07-01,76.9803114039,62.59021170319529,71.68756727817218,
2003-08-01,76.1937538886,63.0810565031879,66.99102348321739,
2003-09-01,76.4321993903,63.3119271886498,66.08083884165869,
2003-10-01,76.4143532737,63.43144435749829,67.12347862828636,
2003-11-01,76.6952615905,63.99944908954036,67.78761453526583,
2003-12-01,77.7990409349,64.56106412192275,70.28292324957266,
2004-01-01,76.4308739841,64.40901126372678,69.91074110458453,
2004-02-01,77.4539626596,64.97533190747677,72.28595949681575,
2004-03-01,78.0496516093,65.33252150546254,77.89159890197274,
2004-04-01,77.6946736574,66.12836169779341,77.24927382606,
2004-05-01,77.7165015997,65.98735163552949,76.72234670750557,
2004-06-01,77.7865507932,67.49232218298603,72.79285052460699,
2004-07-01,77.9674622078,67.44830585169038,73.93827288761538,
2004-08-01,78.4160814266,68.3359408191104,74.67315818848982,
2004-09-01,78.2693803484,70.35471901889042,74.47433047567456,
2004-10-01,78.1633279532,70.25016854375853,76.06574955530863,
2004-11-01,79.4695303438,70.27863888370042,80.47200391585906,
2004-12-01,79.2456745155,72.8154243806297,82.1600859686452,
2005-01-01,79.4851673964,69.05263176416473,78.21050133692633,
2005-02-01,78.9220006423,71.18690492050736,78.87112886138812,
2005-03-01,78.6320046778,70.85320606122816,78.07662484515438,
2005-04-01,78.9055909468,71.12500168943949,77.32729158876886,
2005-05-01,79.414057034,70.39694877888293,77.96952526452063,
2005-06-01,78.7697425341,71.64150390931043,77.45588178691438,
2005-07-01,79.5069650774,72.86410844582042,76.47759681931633,
2005-08-01,80.0541682362,73.25012713588654,79.67234219677813,
2005-09-01,80.7893521091,75.47412034245967,82.12715931666972,
2005-10-01,80.9868767497,74.47045992811603,76.19327393110734,
2005-11-01,81.0163273274,74.18322065637261,79.04418863700867,
2005-12-01,81.5295347633,76.89329668219922,82.23224186254797,
2006-01-01,82.5142087201,77.82051877405335,80.73736682262728,
2006-02-01,82.3718411856,77.0861937266114,79.55441930103811,
2006-03-01,82.1939021308,79.5208074373707,78.14715964842169,
2006-04-01,83.1093191447,80.15992904060404,78.0878240667566,
2006-05-01,83.3229276988,82.25616374796363,78.67670233287714,
2006-06-01,83.7125930067,81.68407907170648,79.21762441583864,
2006-07-01,83.6901403047,81.68440546002334,77.2838306805636,
2006-08-01,83.8280872835,83.01170443949962,78.09579750989822,
2006-09-01,84.1039265615,82.44406664596244,81.28220062149865,
2006-10-01,84.221278471,83.1729591848234,81.35911439559862,
2006-11-01,84.2812334905,83.39188275147484,80.55978760028397,
2006-12-01,84.0298664522,84.06272966709557,80.23228359027448,
2007-01-01,83.3119712835,85.79711044510967,80.55442185850615,
2007-02-01,83.6698712752,85.8678730107885,77.70970267578775,
2007-03-01,84.2889969939,87.00937183755174,78.74632155373398,
2007-04-01,84.1451018347,88.05351562502317,76.88408752175461,
2007-05-01,84.2481826239,88.8811393881584,75.76083805399334,
2007-06-01,84.9488758968,90.1010815202126,72.53356124277668,
2007-07-01,83.7590944341,90.52340094929455,77.35855746770376,
2007-08-01,84.6155376979,90.7205294486108,75.20606978240815,
2007-09-01,84.5069985014,91.41310637776031,77.70794592875504,
2007-10-01,85.0732490852,91.98100444067153,78.22673222957403,
2007-11-01,84.8496866812,91.05942870261539,76.6858096538744,
2007-12-01,84.1513258714,92.46337143704999,75.05406072070535,
2008-01-01,85.2180602506,93.74455238009757,79.14238642594246,
2008-02-01,85.8258013318,94.10704599286981,75.67611125568075,
2008-03-01,85.5217727049,94.36644694353683,72.89818166455929,
2008-04-01,85.8662244517,94.53909915233383,75.87606645841991,
2008-05-01,86.2316581015,95.72509259916637,76.69987721759513,
2008-06-01,86.6241105957,96.3888630049308,76.6964547800113,
2008-07-01,86.7435644665,95.42532860687513,76.28103954692378,
2008-08-01,85.6883777647,95.43695135227075,73.58771793952468,
2008-09-01,85.155949087,95.77325437205685,68.37008272884879,
2008-10-01,84.0745103408,94.52835007927887,65.47857271692372,
2008-11-01,83.334103759,96.66876800605186,62.69206852748965,
