,mobility_retail,mobility_work,stringency,ActividadIndustrial,IMSS,ANTAD,AUTOS
2020-02-01,1.2,6.8,0.19172413793103446,-2.8542398627189076,1.4355197569502316,1.6763816604649329,-4.912792466927591
2020-03-01,-15.096774193548388,-10.35483870967742,19.923870967741934,-4.97686318199419,0.5289144656227034,2.005506613270777,-28.195983424498827
2020-04-01,-56.666666666666664,-45.333333333333336,82.41,-35.2003213564971,-2.379353827219581,-25.647619707248214,-105.9418525846354
2020-05-01,-55.645161290322584,-38.54838709677419,82.41,-34.40695876527682,-4.021376388666007,-24.156260197409633,-88.00205730349168
2020-06-01,-47.333333333333336,-29.933333333333334,71.512,-15.781136403766613,-4.51995232698135,-15.492807801126416,-53.27669099930081
2020-07-01,-39.96774193548387,-29.419354838709676,70.83,-10.882027406189453,-4.574428235377247,-9.153958283005089,-38.884604829632316
