fecha,AGREGADO,Agencias de Viajes,Agregadores,Aseguradoras,Beneficencia,Colegios y Universidades,Comida Rápida,Educación Básica,Entretenimiento,Estacionamientos,Farmacias,Gasolineras,Gobierno,Grandes superficies,Guarderías,Hospitales,Hoteles,Misceláneos,Médicos y dentistas,No definido,Otros,Peaje,Refacciones y ferretería,Renta de Autos,Restaurantes,Salones de belleza,Supermercados,Telecomunicaciones,Transporte Aéreo,Transporte Terrestre de Pasajeros,Ventas al detalle (Retail)
2012-08-26,16.510334186569526,23.269705445462794,11.24311456321658,8.697863097726529,13.774875196537343,24.265509699708993,21.258385438287817,33.50045957924308,15.416561085328178,38.50566939413143,22.349250751694225,28.820012841340542,11.488451996128198,11.812515730454457,43.15338014009,11.212415136483996,16.530997918909776,37.28443247374329,25.635899110647486,33.43786415358823,20.452242253963377,20.185521034842868,24.406832478843548,21.17519548637387,16.117368395304624,18.358643828522887,9.404103516312624,6.453705423582454,32.71514804402179,19.274008600244272,18.576551537717496
2012-08-27,15.581948458829498,22.703151106563,17.83459736672257,8.567527186182541,14.891482802950835,23.174385281460307,22.14532896101915,32.33250015128153,11.168917977022014,14.025351784377674,21.740197295651566,28.894646082900994,9.38593570197779,10.031676381274753,39.43630127688262,11.568003992984135,16.66468533983325,36.81925641243589,26.21192860738699,34.93243366621197,20.40296358628549,21.657915998167862,25.335300435236636,20.715680713807544,16.327352207019498,18.46156269752987,1.0363855206042867,8.285451156559349,24.877260466874382,19.048730907266805,18.354137945503858
2012-08-28,16.42881143616414,22.247456070273753,16.718021730520523,6.0004026048886505,16.02508604908921,7.381549564754042,23.277928937587454,22.652464224179045,9.823166705304127,19.51296679567356,22.167959140700315,28.809423231592568,-0.25268676875004803,12.558772677121244,28.93324500703628,12.602062275230299,17.694928420885873,35.06558680899958,26.37842359978768,32.260091739163656,19.732098327116628,23.25768810974928,24.818321135994243,20.301066723334387,17.55641227905052,17.932655915654927,1.3831857849321183,20.408417462063223,15.102589771864567,19.72302855497596,19.11545267045148
2012-08-29,16.443702038435863,25.949368310369493,15.352058605029665,8.526064348478908,17.09857872044367,11.896275651296973,25.866435582317383,20.8037852256301,16.646719547972964,9.485364951110654,24.182010903500142,33.05064292408485,0.9138264542109743,9.099852567518845,26.87820797990553,17.535818983486383,21.76130453994543,37.0011436529073,31.480385201380535,30.42291626399956,22.15082825638798,28.341445894446966,27.703437987474018,22.75373692661414,20.146402173573602,22.29725800569506,6.651757507560109,18.91041662761052,18.54388939364753,22.85388105518202,20.221885567212897
2012-08-30,13.499770474398472,25.031580930133114,3.0188462885546956,8.456882161227886,11.221718900829007,-2.402354079213776,25.220753076257413,15.03463912643716,5.125876534597317,-17.469367050182623,22.043992731099955,32.13067060421144,-3.995060864919555,5.575652299669487,22.667921000302886,17.936921726646737,20.247855337700173,32.313611379892805,30.348897974387825,11.026941433050713,12.724141980872883,24.595288394465108,26.83667451260504,21.602410071675305,19.881962536902076,20.344929952612844,3.6226910456298063,19.449548197887246,18.011758976302943,21.119034223275403,19.468902853225515
2012-08-31,12.02810669342074,19.91985713087527,-3.1888764188519234,6.309347537687453,8.855559502457675,-6.0567207002376735,22.530179527341616,6.0448304572497875,-12.037833130436509,-46.6412786089578,18.840896465785214,28.805611784513868,1.1018268711887733,7.74399270686165,3.859034537183782,12.496573402461767,16.17444691230505,27.268497865827758,26.917914084098467,0.6550497301580975,11.621537034959827,30.090298203618886,24.60358037125681,22.378837698802574,15.929618257801344,16.224270921134686,3.6407533428576304,13.92466404728989,13.362659570280192,17.261971603747106,17.46604278566558
2012-09-01,13.856915330238193,16.38419158425406,-0.5854769076064987,8.426473993359998,12.752403887733484,1.6204949737378886,21.84969076503514,4.832495708630516,-14.416188576332765,-37.49218381031491,17.833644066665997,29.042929590723553,10.10928029949361,11.44347612942175,7.233393492556033,12.609928252401165,14.86880819265145,30.06984080358166,25.01898573408138,-0.052284030487822035,18.186426942375363,22.90618318531793,23.64018330216485,24.09723096422246,13.837582673723741,14.523377415648644,1.2375369721892364,22.691259637227386,7.5601082168960385,16.135789128875803,16.61820202354102
2012-09-02,15.499932852673325,17.1103468675546,4.3165058605161795,8.43792199182618,11.402717238571901,2.584415156148988,22.424904336947357,4.663722592168226,-4.9655845166887875,-52.16443672650567,17.63165480267923,28.254727720199497,11.135212502150333,16.13154574227737,-0.44220383716520545,10.621298666673981,14.998605290424807,30.8424296627758,24.545854113090513,2.408831521515807,18.40912156139222,37.37321086673149,22.067556044864823,24.503129800668372,13.11449912051411,11.839024454018539,1.313337895844522,20.830275520538695,4.88409575241414,14.743733940202066,15.810254854333158
2012-09-03,17.935251119706844,15.517792456183003,-2.1876355251071664,7.648733247325641,11.022246413368872,3.707546911459356,19.048806512146438,5.861539576579581,-1.4854388473107125,-46.37244296060129,16.964832282380048,27.983489285785552,14.223120173531406,23.233742952116312,-0.510640082060882,9.493014593686567,11.432871663941462,30.668568627852572,24.333962789363472,18.35814489642302,17.361770396414038,21.342979553716194,20.74458226495128,23.221830045530957,11.297534566865645,11.90681013834735,-1.8729971795474254,25.466258222277748,7.192998362970406,12.862011773192572,14.500315299045912
2012-09-04,18.77498380008253,13.12871224240767,2.5420551642787874,12.32289583490969,15.338437763243821,10.297607145671897,19.769110016916787,7.573514216640259,4.208806429904721,-39.76606144033039,17.650052614439268,28.56274723594031,21.66735175627023,24.088109926010304,8.936252984070112,8.759382374998259,8.761392365679905,32.32519339819227,23.632225369126814,19.758292700908484,16.718801826678988,24.284920511392176,20.877324380114697,22.68164668000961,11.586496202226284,12.403885647560788,-2.7027860700350734,22.645910871094273,9.406664189031897,13.78873071411791,14.623979698140246
