target_month,cutoff,mediana,p025,p975,s0,real
2019-01-01,2019-02-15,-0.08725580749750594,-1.4074672504246515,1.2753665820888425,1.0,0.5017621397962478
2019-02-01,2019-03-15,-0.06620030764956583,-1.4124344394075543,1.243975331245857,1.0,0.24782195521821496
2019-03-01,2019-04-15,-0.07668879033997592,-1.3616347833097069,1.2680903023625256,1.0,-1.1731155639823376
2019-04-01,2019-05-15,-0.020154635680727152,-1.359002780065299,1.2926455280287474,1.0,0.4384572446733069
2019-05-01,2019-06-15,-0.024201639676382024,-1.3322499891242634,1.2921744708446334,1.0,-0.4188016826098163
2019-06-01,2019-07-15,-0.015608078896321046,-1.3188591852014682,1.3307719099712965,1.0,0.5031080736471313
2019-07-01,2019-08-15,-0.07316735126580956,-1.4392026080547227,1.250275204590448,1.0,-0.20971018831275312
2019-08-01,2019-09-15,-0.14917904761010645,-1.4660476956533053,1.1859454565370593,1.0,0.10591272096442869
2019-09-01,2019-10-15,-0.07146740882120185,-1.3478963924770446,1.2376463967533036,1.0,0.4330954807817104
2019-10-01,2019-11-15,-0.04911543609947712,-1.364520181024739,1.2768526255177837,1.0,-1.0200060496785452
2019-11-01,2019-12-15,0.06340037436648932,-1.4125297669146424,1.5480533030858108,1.3106125446867691,0.20494646856200083
2019-12-01,2020-01-15,0.07519388133670324,-1.2565585956838354,1.4284808552665904,1.0,-0.17615308438795585
2020-01-01,2020-02-15,0.060706641655180776,-1.2992768009268263,1.4380107274874072,1.0,0.8367999597783693
2020-02-01,2020-03-15,0.05657446355978313,-1.219360191270494,1.4029478080354658,1.0,-1.013175599076066
2020-03-01,2020-04-15,-0.059198963421715795,-3.777026769925928,3.838698119655838,8.371776981102078,-3.338228449980881
2020-04-01,2020-05-15,-0.23291394986050476,-3.985977283503747,3.740188490030571,8.431096175158133,-20.913616465147538
2020-05-01,2020-06-15,-0.12828745461067567,-4.913527460822169,4.6386815065297675,13.067369798431164,-1.8833945778422272
2020-06-01,2020-07-15,-0.10981129386782332,-5.018952994124268,4.785392904013186,13.887813730760392,11.203512891057535
2020-07-01,2020-08-15,-0.08892167327614658,-6.974414729225656,6.471036689511499,25.208248997068576,4.940361315173019
2020-08-01,2020-09-15,-0.00811601854535866,-6.736387347038555,6.394240490482726,25.208248997068576,2.893196984549725
2020-09-01,2020-10-15,-0.06393282076075449,-6.704952007252372,6.674786169920104,25.208248997068576,2.67602779597902
2020-10-01,2020-11-15,-0.11769942832503008,-6.779342562933323,6.477902351936305,25.208248997068576,1.0593538436139887
2020-11-01,2020-12-15,-0.0514527480954182,-6.6790926521997624,6.674442918733782,25.208248997068576,0.7704442563415494
2020-12-01,2021-01-15,0.0730483855989363,-6.618500674597805,6.399447179325437,25.208248997068576,-0.29457775587928486
2021-01-01,2021-02-15,0.06203504249224116,-6.772855303035419,6.828269626277385,25.208248997068576,0.053965944133910884
2021-02-01,2021-03-15,-0.06546628160186271,-6.666560893082337,6.509879992132752,25.208248997068576,-0.6448203306147121
2021-03-01,2021-04-15,0.1460401123949029,-6.350084862318225,6.982471503288841,25.208248997068576,1.9706739978577823
2021-04-01,2021-05-15,0.28012385058249567,-6.318601933677919,7.104309528536894,25.944120784722355,-0.18996571699486825
2021-05-01,2021-06-15,0.26104984920559465,-6.417767592381377,7.0480843750681865,25.208248997068576,0.004386945176993729
2021-06-01,2021-07-15,0.2403555106054251,-6.18862660666366,6.7998826425429835,23.80872806265329,-0.1678514174337769
2021-07-01,2021-08-15,0.32139468023187884,-6.124394898841528,6.648890749355795,23.80872806265329,-0.35376372553014795
2021-08-01,2021-09-15,0.29570139407776463,-6.084452973938908,6.735571406106608,23.80872806265329,-0.7486023796363329
2021-09-01,2021-10-15,0.36176226207409634,-6.264470554603375,7.148770712486065,23.80872806265329,-0.23661656475094694
2021-10-01,2021-11-15,0.33748052953387797,-6.328835286814175,6.7194495954558215,23.80872806265329,0.7012316460563013
2021-11-01,2021-12-15,0.24053001583347888,-6.17540801074843,6.734068777125729,23.80872806265329,0.6473291405663792
2021-12-01,2022-01-15,0.10261402350516458,-6.368308407934966,6.608387014001144,23.80872806265329,0.542554829575683
