,corr_con_PIB_qoq_pre2020
IGAE,0.9667100577517449
ActividadIndustrial,0.9061886606991951
IMCP,0.7986375658278246
Importaciones,0.7662654215671599
FBCF,0.7310778231271415
AUTOS,0.6834674533825393
IMSS_empleos,0.6274629854359357
ANTAD,0.5652755418536797
Exportaciones,0.40672440618999894
TARJETAS,0.28345816195324314
EPU,0.04355995420865895
TC,-0.3095465096193862
TasaDesempleo,-0.4421946686482331
