modelo,mediana,P95_lo,P95_hi,RMSE,MAE,log_score,cubre_95
M0,-3.8911151343328507,-12.459109152533403,5.912719463587709,18.784737627615502,18.196342482137528,-10.063524048248771,False
M1,-3.8551611275749575,-12.997064359799507,6.139888584342759,18.759441664709435,18.145262398142584,-9.611504829027115,False
M2,-4.974022096566646,-11.059269997481563,1.1140480256430603,19.692245647743864,19.45040966889541,-22.025595871227054,False
M3,-6.660342546172871,-11.776507279074831,-1.68363481223393,21.299587119773804,21.143229175170756,-35.54648626137683,False
M4,9.996415328715237,6.696109571411664,13.600284048591083,4.775855716845976,4.45629838281777,-4.6172386476373894,False
