Date,^MXX
2000-01-03,7077.7099609375
2000-01-04,6675.27001953125
2000-01-05,6764.31005859375
2000-01-06,6751.64990234375
2000-01-07,7047.08984375
2000-01-10,7333.7001953125
2000-01-11,7143.1298828125
2000-01-12,7174.10009765625
2000-01-13,7274.52001953125
2000-01-14,7381.490234375
2000-01-17,7447.1201171875
2000-01-18,7303.31982421875
2000-01-19,7171.2001953125
2000-01-20,7036.7900390625
2000-01-21,6890.77978515625
2000-01-24,6855.35009765625
2000-01-25,6885.8798828125
2000-01-26,6918.93994140625
2000-01-27,6854.39013671875
2000-01-28,6648.47998046875
2000-01-31,6585.669921875
2000-02-01,6740.52001953125
2000-02-02,6769.81005859375
2000-02-03,7043.10009765625
2000-02-04,7236.5400390625
2000-02-07,7592.56982421875
2000-02-08,7583.509765625
2000-02-09,7469.16015625
2000-02-10,7723.85986328125
2000-02-11,7623.47021484375
2000-02-14,7558.22998046875
2000-02-15,7574.64013671875
2000-02-16,7600.72021484375
2000-02-17,7538.18994140625
2000-02-18,7345.56982421875
2000-02-21,7314.97021484375
2000-02-22,7234.759765625
2000-02-23,7462.1201171875
2000-02-24,7410.81982421875
2000-02-25,7304.35009765625
2000-02-28,7336.64990234375
2000-02-29,7368.5498046875
2000-03-01,7614.830078125
2000-03-02,8007.759765625
2000-03-03,8131.27001953125
2000-03-06,7964.8701171875
2000-03-07,8005.9501953125
2000-03-08,8295.2001953125
2000-03-09,8319.669921875
2000-03-10,8177.419921875
2000-03-13,8003.72021484375
2000-03-14,7835.6298828125
2000-03-15,7987.85009765625
2000-03-16,7982.419921875
2000-03-17,7985.33984375
2000-03-20,7906.39013671875
2000-03-22,7782.60986328125
2000-03-23,7943.509765625
2000-03-24,8093.580078125
2000-03-27,8139.5
2000-03-28,7952.2001953125
2000-03-29,7885.22998046875
2000-03-30,7604.490234375
2000-03-31,7473.25
2000-04-03,7378.81982421875
2000-04-04,7194.830078125
2000-04-05,7272.83984375
2000-04-06,7462.93017578125
2000-04-07,7540.08984375
2000-04-10,7375.5400390625
2000-04-11,7234.7099609375
2000-04-12,7016.68994140625
2000-04-13,6860.259765625
2000-04-14,6315.91015625
2000-04-17,6308.259765625
2000-04-18,6684.0
2000-04-19,6446.669921875
2000-04-24,6444.1298828125
2000-04-25,6756.9501953125
2000-04-26,6751.06982421875
2000-04-27,6844.77978515625
2000-04-28,6640.68017578125
2000-05-02,6612.5
2000-05-03,6415.509765625
2000-05-04,6504.419921875
2000-05-08,6324.419921875
2000-05-09,6196.08984375
2000-05-10,6083.97998046875
2000-05-11,6104.830078125
2000-05-12,6255.35009765625
2000-05-15,6343.2900390625
2000-05-16,6366.68994140625
2000-05-17,6189.08984375
2000-05-18,6113.0498046875
2000-05-19,5863.68017578125
2000-05-22,5656.4501953125
2000-05-23,5593.580078125
2000-05-24,5800.02978515625
2000-05-25,5664.25
2000-05-26,5652.2900390625
2000-05-29,5728.0
2000-05-30,5998.47998046875
2000-05-31,5961.14013671875
2000-06-01,6178.06005859375
2000-06-02,6627.33984375
2000-06-05,6554.89013671875
2000-06-06,6250.68994140625
2000-06-07,6238.41015625
2000-06-08,6364.91015625
2000-06-09,6398.72998046875
2000-06-12,6405.0
2000-06-13,6539.2001953125
2000-06-14,6667.2001953125
2000-06-15,6563.60986328125
2000-06-16,6452.89990234375
2000-06-19,6551.25
2000-06-20,6521.22021484375
2000-06-21,6687.0
2000-06-22,6570.669921875
2000-06-23,6425.56982421875
2000-06-26,6599.33984375
2000-06-27,6747.31982421875
2000-06-28,6676.64013671875
2000-06-29,6834.080078125
2000-06-30,6948.330078125
2000-07-03,7373.3701171875
2000-07-04,7520.0400390625
2000-07-05,7372.58984375
2000-07-06,7306.14013671875
2000-07-07,7370.3798828125
2000-07-10,7398.7001953125
2000-07-11,7266.0
2000-07-12,7416.33984375
2000-07-13,7428.1298828125
2000-07-14,7435.990234375
2000-07-17,7291.740234375
2000-07-18,7216.580078125
2000-07-19,6863.27001953125
2000-07-20,6765.27978515625
2000-07-21,6718.72998046875
2000-07-24,6658.169921875
2000-07-25,6715.60009765625
2000-07-26,6748.47998046875
2000-07-27,6607.490234375
2000-07-28,6344.02978515625
2000-07-31,6514.2099609375
2000-08-01,6507.77001953125
2000-08-02,6543.93017578125
2000-08-03,6509.169921875
2000-08-04,6582.669921875
2000-08-07,6635.0
2000-08-08,6669.85009765625
2000-08-09,6519.0
2000-08-10,6474.81005859375
2000-08-11,6501.2998046875
2000-08-14,6506.31982421875
2000-08-15,6501.669921875
2000-08-16,6477.97998046875
2000-08-17,6536.8701171875
2000-08-18,6386.66015625
2000-08-21,6345.1298828125
2000-08-22,6341.2998046875
2000-08-23,6367.0
2000-08-24,6293.5498046875
2000-08-25,6181.14990234375
2000-08-28,6226.3701171875
2000-08-29,6331.27978515625
2000-08-30,6572.91015625
2000-08-31,6664.81982421875
2000-09-01,6722.41015625
2000-09-04,6775.97021484375
2000-09-05,6824.97021484375
2000-09-06,6789.72998046875
2000-09-07,6953.31005859375
2000-09-08,6903.47998046875
2000-09-11,6801.39990234375
2000-09-12,6702.259765625
2000-09-13,6833.0400390625
2000-09-14,6878.89013671875
2000-09-15,6835.43017578125
2000-09-18,6599.009765625
2000-09-19,6634.52978515625
2000-09-20,6752.47021484375
2000-09-21,6558.89990234375
2000-09-22,6549.6201171875
2000-09-25,6533.580078125
2000-09-26,6459.14990234375
