fecha,log_casos_real,escenario_control,escenario_meseta
2020-07-25,8.793156870913819,9.098609576761325,8.858609576761316
2020-07-26,8.796814289912655,9.078609576761325,8.850609576761316
2020-07-27,8.7925062245822,9.058609576761325,8.842609576761317
2020-07-28,8.800049352151323,9.038609576761326,8.834609576761318
2020-07-29,8.794283656012128,9.018609576761326,8.826609576761319
2020-07-30,8.7788319180195,8.998609576761327,8.81860957676132
2020-07-31,8.798109570953818,8.978609576761327,8.81060957676132
2020-08-01,8.856864387538783,8.958609576761328,8.802609576761322
2020-08-02,8.844027293343949,8.938609576761328,8.794609576761323
2020-08-03,8.83977346158414,8.918609576761328,8.786609576761323
2020-08-04,8.817594036275793,8.898609576761329,8.778609576761324
2020-08-05,8.825748746165692,8.87860957676133,8.770609576761325
2020-08-06,8.801533973684219,8.85860957676133,8.762609576761326
2020-08-07,8.763383402179699,8.83860957676133,8.754609576761327
2020-08-08,8.69256206278234,8.81860957676133,8.746609576761328
2020-08-09,8.681059783836833,8.798609576761331,8.738609576761329
2020-08-10,8.700062217369219,8.778609576761331,8.73060957676133
2020-08-11,8.712783470924782,8.758609576761332,8.72260957676133
2020-08-12,8.706159290928861,8.738609576761332,8.714609576761331
2020-08-13,8.724462845002577,8.718609576761333,8.706609576761332
2020-08-14,8.698609576761333,8.698609576761333,8.698609576761333
