fecha,tarjetas,mean_base,mean_adv,p_base,p_adv
2020-07-01,-12.170245007795623,-16.75846201418753,-16.75846201418753,0.5,0.5
2020-07-02,-9.28209882173349,-16.19780942500482,-16.265222481198954,0.523560839597752,0.47643916040224793
2020-07-03,-6.777587103410136,-15.637156835822108,-15.771982948210379,0.5810713520570576,0.41892864794294243
2020-07-04,-3.454810504352245,-15.076504246639397,-15.278743415221804,0.6837890360644782,0.31621096393552184
2020-07-05,-1.0126344260166125,-14.515851657456686,-14.785503882233229,0.8065655626509359,0.1934344373490641
2020-07-06,1.915876037812807,-13.955199068273977,-14.292264349244654,0.9113621524324197,0.0886378475675803
2020-07-07,2.9530728815729,-13.394546479091266,-13.799024816256079,0.9626941205341747,0.037305879465825316
2020-07-08,-0.1666686190365553,-12.833893889908556,-13.305785283267504,0.9739293644458767,0.026070635554123367
2020-07-09,-2.014616209186574,-12.273241300725845,-12.812545750278929,0.975343039735897,0.02465696026410292
2020-07-10,-3.306482877965572,-11.712588711543134,-12.319306217290354,0.973847296138218,0.02615270386178204
2020-07-11,-5.09594138034442,-11.151936122360425,-11.826066684301779,0.9677421972383945,0.032257802761605524
2020-07-12,-5.890078008482677,-10.591283533177712,-11.332827151313204,0.9613110276336145,0.038688972366385445
2020-07-13,-8.068652968067001,-10.030630943995003,-10.839587618324629,0.9406981311973354,0.05930186880266467
2020-07-14,-11.11326990853699,-9.469978354812293,-10.346348085336054,0.8751951762038763,0.12480482379612355
2020-07-15,-11.326740029333656,-8.909325765629582,-9.853108552347479,0.7809799879957057,0.21902001200429438
2020-07-16,-9.182764887050537,-8.348673176446871,-9.359869019358904,0.7402312388438816,0.2597687611561184
2020-07-17,-7.367241517044384,-7.78802058726416,-8.866629486370329,0.7566139355851981,0.24338606441480187
2020-07-18,-5.260309692274079,-7.22736799808145,-8.373389953381754,0.8299805009550737,0.17001949904492625
2020-07-19,-3.9000105053931264,-6.666715408898739,-7.8801504203931785,0.8994941313002959,0.10050586869970415
2020-07-20,-1.3487308818459287,-6.106062819716028,-7.386910887404603,0.9609604873617428,0.03903951263825713
2020-07-21,1.748585303056364,-5.545410230533319,-6.893671354416028,0.9894110723135597,0.010588927686440222
2020-07-22,2.708644887422425,-4.9847576413506065,-6.400431821427453,0.9942583137044991,0.00574168629550082
2020-07-23,1.019967991171071,-4.4241050521678975,-5.907192288438878,0.9908741419519254,0.009125858048074587
2020-07-24,0.0018033489772382,-3.8634524629851867,-5.413952755450303,0.9856868704333879,0.014313129566612116
2020-07-25,-1.3846868524165432,-3.302799873802476,-4.920713222461728,0.9731375223708594,0.026862477629140687
2020-07-26,-2.243565401081566,-2.7421472846197634,-4.4274736894731515,0.9516303419778005,0.04836965802219942
2020-07-27,-3.7976672000260807,-2.181494695437056,-3.934234156484578,0.8818638714867998,0.11813612851320031
2020-07-28,-5.892029533363857,-1.6208421062543437,-3.440994623496003,0.6116482660692393,0.3883517339307606
2020-07-29,-8.628273507075138,-1.060189517071633,-2.947755090507428,0.10815313786935316,0.8918468621306469
2020-07-30,-11.21928406853093,-0.4995369278889257,-2.454515557518855,0.0037215112804764735,0.9962784887195236
2020-07-31,-11.401415928490197,0.06111566129378687,-1.961276024530278,0.0007990874763855476,0.9992009125236144
2020-08-01,-10.593923420413578,0.6217682504764994,-1.468036491541703,0.0007398058213488601,0.9992601941786512
2020-08-02,-8.468683559409968,1.1824208396592084,-0.9747969585531262,0.001287957007934481,0.9987120429920655
2020-08-03,-6.680378208967411,1.7430734288419174,-0.48155742556455294,0.0020361968775717697,0.9979638031224283
2020-08-04,-4.637417155189256,2.30372601802463,0.011682107424022092,0.003756373315523047,0.9962436266844769
2020-08-05,-1.7242322913877346,2.8643786072073425,0.5049216404125971,0.011045111126298515,0.9889548888737014
2020-08-06,1.6226573335449856,3.4250311963900515,0.9981611734011722,0.0456369379697344,0.9543630620302656
2020-08-07,2.7660027773084326,3.9856837855727605,1.4914007063897472,0.09222114232122197,0.907778857678778
2020-08-08,4.360103652472209,4.546336374755473,1.9846402393783222,0.212454821709142,0.787545178290858
2020-08-09,6.704616287008075,5.106988963938182,2.4778797723668973,0.5975604224495373,0.40243957755046256
2020-08-10,7.161111728333204,5.667641553120891,2.9711193053554723,0.8696134369198918,0.1303865630801082
2020-08-11,6.2545775278497056,6.228294142303604,3.4643588383440473,0.915917627997153,0.08408237200284693
2020-08-12,4.6992730214841165,6.788946731486316,3.9575983713326224,0.8257185369508551,0.174281463049145
2020-08-13,2.501442058680636,7.349599320669025,4.450837904321197,0.34537674109060656,0.6546232589093934
2020-08-14,0.1638666474793199,7.910251909851734,4.9440774373097724,0.013232017187487736,0.9867679828125122
