fecha,log_casos_real,escenario_control,escenario_meseta
2020-04-24,6.753104474113196,7.160177796632438,7.0251777966324385
2020-04-25,6.809512231093175,7.185177796632439,7.050177796632439
2020-04-26,6.8206400004910375,7.210177796632439,7.075177796632439
2020-04-27,6.872424134496861,7.235177796632439,7.1001777966324395
2020-04-28,6.942984520316279,7.26017779663244,7.12517779663244
2020-04-29,6.943536016262975,7.28517779663244,7.15017779663244
2020-04-30,6.988808464961455,7.31017779663244,7.175177796632441
2020-05-01,7.0245219252739295,7.335177796632441,7.200177796632441
2020-05-02,7.071573364211532,7.360177796632441,7.225177796632441
2020-05-03,7.135914800685442,7.3851777966324414,7.250177796632442
2020-05-04,7.19999836276148,7.410177796632442,7.275177796632442
2020-05-05,7.188952081744913,7.435177796632442,7.300177796632442
2020-05-06,7.247792581767846,7.4601777966324425,7.325177796632443
2020-05-07,7.302881409295122,7.485177796632443,7.350177796632443
2020-05-08,7.339815949826759,7.510177796632443,7.375177796632443
2020-05-09,7.3929993237155776,7.535177796632444,7.400177796632444
2020-05-10,7.408617143233367,7.560177796632444,7.425177796632444
2020-05-11,7.397386450169495,7.585177796632444,7.4501777966324445
2020-05-12,7.471363088187097,7.565177796632445,7.475177796632445
2020-05-13,7.491725145357555,7.545177796632445,7.500177796632445
2020-05-14,7.525177796632446,7.525177796632446,7.525177796632446
