fecha,n_articulos_mx,tono_promedio,polaridad_promedio
2017-01-01,60,-0.4931225160757763,5.358761312461292
2017-02-01,157,-0.7296807450883126,6.078912409882959
2017-03-01,193,-0.0588677616626302,5.969745565434964
2017-04-01,77,0.8593151454071024,6.7107385730937805
2017-05-01,118,-0.6856083579810718,6.629510757797866
2017-06-01,57,-1.0341208123578716,6.559826568072486
2017-07-01,116,-1.9133315252220853,6.348098424398119
2017-08-01,134,-1.8900445670564991,6.890740749641253
2017-09-01,112,-1.3551775597833016,6.245041537151558
2017-10-01,22,-0.4990356973423623,7.208546955266967
2017-11-01,139,-2.1831476597841464,7.044271063130797
2017-12-01,187,-3.593829546823934,8.252703480661626
2018-01-01,64,0.7558361645160214,6.115253110127979
2018-02-01,81,-0.1901616356329601,5.757607615379855
2018-03-01,109,-0.6237123647768807,5.508833136096072
2018-04-01,39,-1.471220561491105,6.583537207474672
2018-05-01,211,-1.94198162055153,6.587485346903353
2018-06-01,230,-1.959894470916658,6.710814229513315
2018-07-01,118,-2.860100086830052,6.7406751359655
2018-08-01,228,-2.751857544732912,6.014764938451347
2018-09-01,149,-1.5677811844627645,6.926222046668765
2018-10-01,110,0.0756746235882593,6.405565327705869
2018-11-01,162,-1.2907587378742715,5.377412048915114
2018-12-01,66,0.0103659687871135,5.795922243681521
2019-01-01,63,-1.6700002340737463,6.002580370344415
2019-02-01,120,-2.4806175871409573,6.730360119226183
2019-03-01,124,-2.5447215314788907,6.972438147530912
2019-04-01,89,-1.5615931718782854,5.915887299497734
2019-05-01,107,-0.7220100467898701,6.016752320389493
2019-06-01,131,-2.42060868658433,6.547635358786481
2019-07-01,63,-0.8389582887747113,5.947076105226912
2019-08-01,75,-1.8106973907660784,6.20140619485226
2019-09-01,19,-2.423203760100778,6.993280922893422
2019-10-01,65,-0.6300930150334653,5.777288617831823
2019-11-01,19,-0.009583894531759,5.701811552149688
2019-12-01,14,-2.430379066376628,6.325220472778017
2020-01-01,26,-2.3083296695494147,7.0155518214978185
2020-02-01,43,-0.8483434705798453,5.654704367340341
2020-03-01,87,-3.9344408245479072,7.837537957073748
2020-04-01,68,-1.5728693256293351,6.782495443133234
2020-05-01,59,-0.520421783817123,5.995356302610544
2020-06-01,46,-1.5560618477612242,6.768564038658753
2020-07-01,65,-0.3175747713473446,5.654212522484221
2020-08-01,59,-1.720393735674649,6.618330154013988
2020-09-01,54,-0.9349881663717352,5.899752954575639
2020-10-01,45,-0.43590438009017013,5.922362106185409
2020-11-01,15,-2.402896426119903,7.47626731176307
2020-12-01,53,-1.0325231716307828,5.9220108581552555
