,p05,p25,mediana,p75,p95
2020-04-01,-0.016141274883311255,-0.005800091695929083,-0.000415135937668921,0.0047663564152892425,0.01366029154630732
2020-05-01,-0.027603627058030506,-0.01789563233416067,-0.011816057005294717,-0.006145116009651577,0.0030642428670538966
2020-06-01,-0.016869064407963714,-0.008204588040855689,-0.003486508501443761,0.0005000776204166441,0.00926823425621789
2020-07-01,-0.032653301676009834,-0.022921947044649345,-0.01575419087942673,-0.009099405649895408,0.0010533407649781406
2020-08-01,-0.024954924442191242,-0.013941298062419227,-0.006294245459015984,0.0012321572496009296,0.01329043202170973
2020-09-01,-0.034947780141368734,-0.022938342332258266,-0.014847807308457549,-0.006521190838274219,0.005761104950219877
2020-10-01,-0.040701712366222054,-0.02661088395669989,-0.017173131379097876,-0.008137593177953265,0.006859511584022893
2020-11-01,-0.026254336146264278,-0.012510934654456397,-0.0030873038163023968,0.006232021145472793,0.020742857199710422
2020-12-01,-0.03447221909376017,-0.02204147235464272,-0.013788785210909756,-0.005592850657484014,0.007086702839618297
