,p05,p25,mediana,p75,p95
2020-04-01,-0.015105982520131308,-0.005584217888892203,-0.0003438452114917813,0.004634601259069062,0.013111740053621862
2020-05-01,-0.016410525079671966,-0.007547914253592677,-0.003101607403615486,0.0015880106487017743,0.009745049997966305
2020-06-01,-0.016438680245475592,-0.007722754404647834,-0.0033868014482057764,0.000646637736642107,0.00913427437059573
2020-07-01,-0.014571097317131267,-0.006571561695630462,-0.0026215761947139763,0.0010319818433495642,0.008813681423823364
2020-08-01,-0.013396960316095797,-0.005993972737773587,-0.0022076462076708984,0.0018720350815521773,0.010212153580557765
2020-09-01,-0.013750291892537453,-0.0060108159906462535,-0.0021166462226608835,0.0015553218737374488,0.008907286144007834
2020-10-01,-0.013262400352067638,-0.00565719930030497,-0.0017290007909005858,0.002015261024135286,0.009260798925911915
2020-11-01,-0.013439805304696637,-0.005219282826106409,-0.0014273955394849876,0.002575821399379183,0.010443765875141854
2020-12-01,-0.012483960483533823,-0.004928888616692459,-0.001065368079813732,0.0028122414437033883,0.0104203706166696
