fecha,n_articulos,tono_promedio,pct_salud_publica,pct_miedo_crisis,pct_cuarentena_restricciones,pct_economia,pct_gobierno_politica
2020-01-01,8,-3.0710884676670958,0.9166666666666666,0.8333333333333334,0.4166666666666667,0.9166666666666666,0.6666666666666666
2020-02-01,39,-2.3965420648725773,0.9538690476190477,0.9895833333333334,0.6949404761904762,0.5193452380952381,0.7336309523809523
2020-03-01,155,-2.2381264921689965,0.8947630891708234,0.8669827699161425,0.49085153030795925,0.7020592740186511,0.788568041549194
2020-04-01,139,-1.1345693792907376,0.9463488372093023,0.7444812942366026,0.25589720256150994,0.5254641051567239,0.6595143242332322
2020-05-01,126,-1.7997643625986826,0.9616707021791767,0.8903389830508475,0.42116222760290556,0.6030266343825665,0.6339709443099274
2020-06-01,101,-2.5295870389322315,0.9526470588235294,0.8323805357383227,0.323589312155068,0.5427567640328442,0.7013979001211469
2020-07-01,126,-2.13095938392904,0.9516404864152792,0.7843061163344794,0.1883156658249038,0.5225307100769,0.7094548515501277
2020-08-01,107,-1.53973089191217,0.9604166666666667,0.8735714285714286,0.3755357142857143,0.7001785714285714,0.7827380952380952
2020-09-01,110,-0.9624180718183382,0.944045584045584,0.8660968660968662,0.28301994301994304,0.5412535612535613,0.6754985754985754
2020-10-01,72,-2.6394561161301513,0.9660087719298245,0.8134278002699056,0.4419913967611336,0.4159708164642375,0.5676872469635628
2020-11-01,55,-2.2006129155365546,0.9791666666666666,0.8065476190476191,0.0994047619047619,0.544047619047619,0.7202380952380952
2020-12-01,125,-1.878638059255292,0.9674327122153208,0.9152173913043479,0.34238095238095234,0.6070048309178744,0.7680469289164942
2021-01-01,124,-2.1480047419279304,0.984375,0.824705547112462,0.24642223910840932,0.6710280521783181,0.6495219098277609
2021-02-01,117,-1.8912303453906958,0.9765873015873017,0.9082251082251083,0.30037878787878786,0.7561327561327562,0.8677669552669552
2021-03-01,70,-1.6812010045966952,0.9568452380952381,0.8950549450549451,0.2201923076923077,0.6720924908424908,0.6673076923076923
2021-04-01,79,-1.1334061075597432,1.0,0.8692460317460318,0.31825396825396823,0.5412698412698413,0.7781746031746032
2021-05-01,48,-0.4076653070970852,1.0,0.9356060606060606,0.18055555555555555,0.6545454545454545,0.6813131313131313
2021-06-01,79,-1.558439261782611,0.95,0.9064407814407816,0.2587606837606838,0.5562271062271062,0.6463064713064713
2021-07-01,46,-1.4393746781339696,1.0,0.9540441176470589,0.20483193277310924,0.5793067226890756,0.7622111344537815
2021-08-01,40,-1.6052815441498964,0.8518518518518517,0.912962962962963,0.08703703703703702,0.3925925925925926,0.7944444444444444
2021-09-01,36,-0.5060156721448228,0.9,0.9012820512820513,0.16153846153846155,0.6611111111111111,0.5401709401709403
2021-10-01,24,-3.081344458080128,1.0,0.8055555555555557,0.537878787878788,0.7348484848484849,0.75
2021-11-01,27,-1.2052666856357737,1.0,0.7011217948717948,0.19150641025641024,0.6522435897435898,0.7772435897435898
2021-12-01,34,-1.9865982149657095,1.0,0.6604166666666667,0.2673611111111111,0.40694444444444444,0.6604166666666667
2022-01-01,26,-1.8079333961711777,1.0,0.9391025641025641,0.3301282051282052,0.7916666666666667,0.7333333333333333
2022-02-01,13,-0.36037646831647596,1.0,0.8125,0.175,0.8375,0.75
2022-03-01,17,-1.8685385796144853,1.0,0.736111111111111,0.05555555555555555,0.7777777777777777,0.736111111111111
2022-04-01,19,-3.9950088365275485,1.0,0.8333333333333334,0.03333333333333333,0.5714285714285715,0.6714285714285714
2022-05-01,6,-1.9618515494303572,1.0,1.0,0.0,0.5,0.8333333333333334
2022-06-01,26,-1.220339038945911,0.9,0.9800000000000001,0.04,0.44000000000000006,0.845
2022-07-01,38,-1.7887090280254523,0.9166666666666666,0.6696428571428571,0.078125,0.45610119047619047,0.7098214285714286
2022-08-01,10,-1.1116766507818814,1.0,0.625,0.0,0.75,0.625
2022-09-01,12,-0.2654914915754605,1.0,0.7083333333333333,0.125,0.5416666666666666,0.625
2022-10-01,12,-1.5456783214745633,0.9523809523809524,0.9523809523809524,0.38888888888888884,0.9047619047619048,0.7857142857142857
2022-11-01,32,-1.8969639721312461,1.0,0.9466666666666667,0.19833333333333333,0.8066666666666666,0.7333333333333333
2022-12-01,56,-3.2360687582782313,1.0,0.8663793103448276,0.04056795131845842,0.9141734279918864,0.96875
