,p05,p25,mediana,p75,p95
2020-04-01,-0.01656368896233572,-0.00554201436187199,3.28134707066377e-05,0.0046365585651057094,0.013924700623838942
2020-05-01,-0.016682565654473173,-0.007640296023082354,-0.0030748137090307525,0.0016319135918219495,0.011175012138725005
2020-06-01,-0.015821733082494557,-0.007635329049038713,-0.003224590442763067,0.0012485788626563138,0.009864328760492242
2020-07-01,-0.015242189383884356,-0.006687156605638235,-0.0026891579598914074,0.0013483298494635443,0.008986582720242269
2020-08-01,-0.014098291347248446,-0.0062743663474571386,-0.002258443227397096,0.0015356108726876706,0.009493556301178874
2020-09-01,-0.013593137622602147,-0.006052925048247836,-0.002141157426837268,0.0012793684293719043,0.009037942632084432
2020-10-01,-0.014062428097129591,-0.0055614388105808205,-0.0016638343135685337,0.002005511723332594,0.009938571103209327
2020-11-01,-0.012345770230033418,-0.005318453648682291,-0.0014358057275211823,0.0024108040409855504,0.0092759261907941
2020-12-01,-0.012636372085576294,-0.005155009169303773,-0.001374916015305246,0.0024026554251947692,0.00970140328393643
