,nueva_ola,rebote_lento,rebote_rapido,meseta_extendida
2020-06-15,0.13068830526550324,0.13068830526529318,0.13068830526529318,0.13068830526529318
2020-06-22,0.11634841706675209,0.12155856237944106,0.06529539370578688,0.12575726748994656
2020-06-29,0.1033731496722346,0.11298196265234318,0.018439325083817945,0.12101228410938714
2020-07-06,0.0916326423791548,0.10492499283418498,-0.01513451517421685,0.11644633505210118
2020-07-13,0.08100939324546176,0.09735617014031323,-0.03919122293530158,0.1120526651228985
2020-07-20,0.07139708784890837,0.090245919231571,-0.056428607275442265,0.10782477400878814
2020-07-27,0.06269956193649634,0.0835664566480172,-0.06877973286754738,0.10375640666194531
2020-08-03,0.054829970513295474,0.0772916822444529,-0.07762970107511993,0.09984154404554142
2020-08-10,0.047710486556345195,0.07139707720353695,-0.08397098039342825,0.09607439422874567
2020-08-17,0.041273657833320744,0.06585960822797436,-0.08851470557409019,0.09244938381772384
2020-08-24,0.03546867579485801,0.06065763753740651,-0.09177042693267701,0.08896114970995643
2020-08-31,0.03028016547376798,0.05577083831831421,-0.0941032532246083,0.08560453115967703
2020-09-07,0.025773037362712584,0.051180115296552225,-0.09577479630490682,0.08237456214269182
2020-09-14,0.022178253677031214,0.04686753012215046,-0.09697250925891367,0.0792664640092843
2020-09-21,0.020015828658382327,0.04281623127482172,-0.0978307080915394,0.0762756384143354
2020-09-28,0.02019595854799339,0.03901038821627992,-0.09844563442581361,0.07339766051419921
2020-10-05,0.023956972459239657,0.03543512953206776,-0.09888624839801745,0.07062827242026928
2020-10-12,0.03246349151712763,0.03207648482118154,-0.09920196210497778,0.06796337689955043
2020-10-19,0.04601983837906676,0.02892133010642563,-0.09942818086119219,0.06539903131291588
2020-10-26,0.06319130772279218,0.025957336552186402,-0.09959027368305887,0.06293144178208197
2020-11-02,0.08046718476520442,0.023172922289239135,-0.09970641826514559,0.060556957576670185
2020-11-09,0.09304869853295936,0.02055720715834231,-0.09978963949476424,0.058272065713052726
2020-11-16,0.09669674015166199,0.018099970195778973,-0.09984927011149046,0.056073385756990494
2020-11-23,0.08970378213912372,0.015791609694718867,-0.09989199731544363,0.05395766482237423
2020-11-30,0.07374387492999841,0.013623105686340346,-0.09992261269488933,0.05192177275866959
2020-12-07,0.05302231530160258,0.01158598469410618,-0.09994454957284728,0.049962697519946184
2020-12-14,0.03230338867782592,0.009672286623469854,-0.09996026803276038,0.04807754070863892
2020-12-21,0.015062305696967579,0.007874533657633142,-0.09997153080144212,0.046263513287449126
2020-12-28,0.002696893603731711,0.006185701037814469,-0.09997960092784634,0.04451793145304115
