fecha,IGAE_mom,ActividadIndustrial_mom,FBCF_mom,IMCP_mom,ANTAD_mom,AUTOS_mom,TARJETAS_mom,Desempleo_mom,IMSS_mom,EPU_mom,INPC_mom,TC_mom,TIIE_mom,Balanza_mom,BMV_mom,INDPRO_mom
2003-08-01,-0.009299086691056502,-0.0025644054737181676,0.00041858149811790923,-0.010270203737626993,0.007811607266972054,-0.06775870082882207,,,0.00016249890291675229,1.2038050366850683,0.002995342662031497,0.031173366626761734,,27356.0,0.03162880444760496,-0.002184157819974608
2003-09-01,0.003061293550484123,-0.0022253407694599048,-0.02353403541189092,0.0031245760052227567,0.003653224023768331,-0.013679809085524575,,,0.0008142241375139747,-11.43905459206971,0.005935409359192345,0.013428412449913107,,230385.30000000075,0.029982985441900922,0.006426751702139022
2003-10-01,0.00396285331243984,0.006945794408416361,0.015934513714030984,-0.00023351677051319797,0.0018859716735688536,0.015655064349489933,,,0.0028173480038056198,-21.623022505023485,0.003659877903430697,0.02243183490140055,,-65831.70000000112,0.030511004973428513,0.0012308567584176089
2003-11-01,0.0018531401702350792,-0.006433665913064601,-0.01572185714634866,0.003669379382036375,0.008914769070995199,0.00984561397129724,,,0.00295200583271793,77.83051762446784,0.008265887224380819,-0.0026693863228182124,,34931.40000000037,0.05894253481803524,0.006682592049196856
2003-12-01,0.012012065553201445,0.01708539152580535,0.018975139199976176,0.0142891758097079,0.008737031160744202,0.03614935499676797,,,0.001519406836866466,77.14553457191386,0.004289718260569231,0.009253615152688965,,49255.40000000037,0.02776006791758867,0.0002959460294098548
2004-01-01,0.004681683045100193,0.003026929996101657,0.053338901699405916,-0.01774237951179991,-0.0023579567305356264,-0.005309555479029449,,,0.002441900331010771,-104.92228715108334,0.00619594089389075,-0.030098384288020696,,265899.30000000075,0.06955035859805392,0.001520626219034149
2004-02-01,0.0029819096190735195,0.0014429093078858202,-0.017260464869936598,0.013297005373095416,0.008754138971186265,0.03341061116913391,,,0.0021183517003748875,-43.61379635068454,0.005963929990718597,0.009038222448011446,,-522652.9000000004,0.05799913342232621,0.00601430610916065
2004-03-01,0.01222010486394609,0.020649442380085148,0.021826882376619672,0.007661453610630531,0.005482255800321134,0.07468818993887893,,,0.003572996389902272,-0.36562344600275765,0.003382847076641937,-0.00043226397108186987,,230253.90000000037,0.05127579941967397,-0.004008755848768253
2004-04-01,-0.0034157570666888404,-0.0015644901587155147,0.005787917540531318,-0.0045584783392556005,0.012107782867779804,-0.008280586989948269,,,0.001365519251603331,-5.410376118737105,0.0015079904942068012,0.023842845231217158,,-425819.0999999996,-0.055655954453259326,0.0037074991758068165
2004-05-01,0.0016679210429586533,-0.004086591179532029,-0.0020447790369004792,0.00028090569944438926,-0.0021346456413304793,-0.006844497366627955,,,0.001992361362351147,50.70089061694867,-0.0025115122342622698,0.02083411433314808,,185389.09999999963,0.008822945924034542,0.007197750706737338
2004-06-01,0.004696524858009532,0.00606472966861471,0.0062284221876307555,0.0009009366332071167,0.022550764196880735,-0.052575274756706314,,,0.001823604803039558,-74.461020942625,0.0016014806500370682,-0.010745100941219388,,-131733.1000000015,0.0241697895984867,-0.007832838806188569
2004-07-01,-0.0060422726909692415,-0.005032394517258787,-0.007878310367733121,0.0023230412170054393,-0.0006523807321459074,0.015612851639534853,,,0.0024054073207473436,39.15552803405115,0.0026175622521789066,0.0064937054808535954,,-138544.5,-0.016220471451331875,0.007443879683666665
2004-08-01,0.0024999998206496343,-0.00015890195390877437,-0.01349102557481796,0.005737438083546209,0.013074382831142373,0.009890104492312979,,,0.0013986852565288643,-32.28426073215081,0.006154090641522281,-0.006073227033395856,,256959.40000000037,0.014516988101219042,0.0006709667193680602
2004-09-01,-0.00014346864921943592,0.0011253418353982525,0.01055520849305669,-0.0018725556207312977,0.0291140123997371,-0.0026661907937945983,,,0.002681722666583397,-20.28086684472244,0.008234387044484315,0.008060157523182454,,84917.60000000149,0.06533846571354118,0.0012701843581544026
2004-10-01,0.0029926841338427934,0.003787552622735113,0.015681916863528045,-0.0013558853848261165,-0.0014871530600837346,0.021143583370018426,,,0.0026676466420916256,66.83445331063216,0.006901858978938691,-0.007696880125307892,,-17242.700000001118,0.05391475634630005,0.008495312737233363
2004-11-01,0.008889865466422897,0.0005013370217143986,0.007475954186721978,0.016573096525562825,0.0004051886706024632,0.05631125448466712,,,0.002620898621817247,11.893307752966237,0.008494096796782813,-0.0026503904787116284,,-745964.3999999985,0.04548910180133703,0.0024803554509942316
2004-12-01,-0.0008800987473254196,0.002837049698711347,-0.0015297540103613727,-0.0028208510575558066,0.03545991003995841,0.020760265483023232,,,0.0023618880621114613,-7.553539004455189,0.002063437705927207,-0.01453491036905552,,-263412.60000000335,0.06519623106886208,0.007936241000935595
2005-01-01,0.000859926025570168,0.0025113262771290223,0.022929613474465427,0.003017599601295551,-0.05305881310109051,-0.04926568524479524,,,0.0033023989370661866,-5.420877318930309,3.5535356963656284e-05,0.005041664640852872,,204831.30000000075,0.013779978524745218,0.0035900791158702816
2005-02-01,0.0017825212369544374,0.004311774241203992,-0.018878383403370336,-0.007110399532748168,0.030439888826983896,0.008411313513663643,,-0.15147496230000002,0.003086861041555977,-48.06393159039017,0.0033262027226452773,-0.01107458323826771,,360366.4000000004,0.05151216173849882,0.007232846062771081
2005-03-01,-0.004364880296954254,-0.002543638442174867,0.02055755696996453,-0.0036812303362232512,-0.0046986653404834655,-0.010124525955244046,,0.09816811369999989,0.0010309936490280336,-14.609824081788105,0.0044971297552907075,0.0005368182963114698,,143244.40000000224,-0.08412305895722305,-0.0013521797796176571
